codigo_dane,departamento,municipio,subregion,habitantes,temperatura_promedio,altura,festival,fecha,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3,latitud,longitud,fuente_geo,bandera_url
"13430","Bolívar","Magangué","Caribe","123982.0","26.8","20.0","","","","","","","","","","","","","","","9.24202","-74.75467","geonames",""
"13433","Bolívar","Mahates","Caribe","26075.0","26.8","10.0","","","","","","","","","","","","","","","10.23293","-75.18985","geonames",""
"13440","Bolívar","Margarita","Caribe","9720.0","27.0","24.0","","","","","","","","","","","","","","","9.15596","-74.26618","geonames",""
"13442","Bolívar","María La Baja","Caribe","23401.0","26.5","15.0","","","","","","","","","","","","","","","9.9832","-75.30155","geonames",""
"13458","Bolívar","Montecristo","Caribe","13470.0","25.7","84.0","","","","","","","","","","","","","","","8.2971","-74.4733","geonames",""
"13468","Bolívar","Mompós","Caribe","41565.0","27.0","14.0","","","","","","","","","","","","","","","9.1399","-74.54513","geonames",""
"13473","Bolívar","Morales","Caribe","29737.0","18.4","1590.0","","","","","","","","","","","","","","","2.78191","-76.76939","geonames",""
"13549","Bolívar","Pinillos","Caribe","23349.0","26.8","19.0","","","","","","","","","","","","","","","8.91925","-74.46771","geonames",""
"13580","Bolívar","Regidor","Caribe","8796.0","26.7","33.0","","","","","","","","","","","","","","","8.72229","-73.84891","geonames",""
"13600","Bolívar","Río Viejo","Caribe","8125.0","26.8","20.0","","","","","","","","","","","","","","","8.58863","-73.83972","geonames",""
"13620","Bolívar","San Cristóbal","Caribe","6561.0","27.3","13.0","","","","","","","","","","","","","","","10.36958","-75.07342","geonames",""
"13647","Bolívar","San Estanislao","Caribe","16518.0","27.1","16.0","","","","","","","","","","","","","","","10.39833","-75.15111","geonames",""
"13650","Bolívar","San Fernando","Caribe","9776.0","26.8","18.0","","","","","","","","","","","","","","","9.07705","-74.41177","geonames",""
"13654","Bolívar","San Jacinto","Caribe","23576.0","25.0","235.0","","","","","","","","","","","","","","","9.82767","-75.1217","geonames",""
"13655","Bolívar","San Jacinto del Cauca","Caribe","8079.0","25.9","21.0","","","","","","","","","","","","","","","8.23729","-74.66782","geonames",""
"13657","Bolívar","San Juan Nepomuceno","Caribe","34110.0","25.9","172.0","","","","","","","","","","","","","","","9.95157","-75.08198","geonames",""
"13667","Bolívar","San Martín de Loba","Caribe","14504.0","26.9","21.0","","","","","","","","","","","","","","","8.88214","-74.00353","geonames",""
