codigo_dane,departamento,municipio,subregion,provincia,categoria_municipal,cabecera_municipal,poblacion,altitud_ms_nm,temperatura_promedio,superficie_km2,latitud,longitud,anio_fundacion,gentilicio,festival_principal,fecha_inicio,fecha_fin,descripcion_festival,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3,fuente_datos,estado_enriquecimiento,observaciones
15051,Boyacá,Arcabuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15087,Boyacá,Belén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15090,Boyacá,Berbeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15092,Boyacá,Betéitiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15097,Boyacá,Boavita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15104,Boyacá,Boyacá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15106,Boyacá,Briceño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15109,Boyacá,Buenavista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15114,Boyacá,Busbanzá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15131,Boyacá,Caldas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15135,Boyacá,Campohermoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15162,Boyacá,Cerinza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15172,Boyacá,Chinavita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15176,Boyacá,Chiquinquirá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15180,Boyacá,Chiscas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15183,Boyacá,Chita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15185,Boyacá,Chitaraque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15187,Boyacá,Chivatá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15189,Boyacá,Ciénega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15204,Boyacá,Cómbita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15212,Boyacá,Coper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15215,Boyacá,Corrales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15218,Boyacá,Covarachía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15223,Boyacá,Cubará,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15224,Boyacá,Cucaita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15226,Boyacá,Cuítiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15232,Boyacá,Chíquiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15236,Boyacá,Chivor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15238,Boyacá,Duitama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15244,Boyacá,El Cocuy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15248,Boyacá,El Espino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15272,Boyacá,Firavitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15276,Boyacá,Floresta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15293,Boyacá,Gachantivá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15296,Boyacá,Gameza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15299,Boyacá,Garagoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15317,Boyacá,Guacamayas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15322,Boyacá,Guateque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15325,Boyacá,Guayatá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15332,Boyacá,Güicán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15362,Boyacá,Iza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15367,Boyacá,Jenesano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15368,Boyacá,Jericó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15377,Boyacá,Labranzagrande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15380,Boyacá,La Capilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15401,Boyacá,La Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15403,Boyacá,La Uvita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15407,Boyacá,Villa de Leyva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15425,Boyacá,Macanal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15442,Boyacá,Maripí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15455,Boyacá,Miraflores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15464,Boyacá,Mongua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15466,Boyacá,Monguí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15469,Boyacá,Moniquirá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15476,Boyacá,Motavita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15480,Boyacá,Muzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
